RecordNo	q	a
220	Q4	MS PowerPoint 2011
220	Q4	MS Publisher 2011
221	Q4	
221	Q4	MS Remote Desktop
225	Q4	MS Office
226	Q4	MS Word
226	Q4	MS Excel
228	Q4	
237	Q4	MS Office 365
237	Q4	Google Chrome
237	Q4	MS Navision
237	Q4	Synchronicer
237	Q4	Skyhost
240	Q4	MS Office 2016
240	Q4	MS Navision
240	Q4	Adobe Acrobat Reader
241	Q4	Airboss
241	Q4	MS Word
241	Q4	MS Excel
241	Q4	osCommerce
241	Q4	
242	Q4	
242	Q4	MS Word
244	Q4	MS Office
246	Q4	
246	Q4	Adobe Photoshop
252	Q4	MS Office 2016
252	Q4	Google Chrome
252	Q4	Evernote
252	Q4	MS Teams
252	Q4	Skype for Business
254	Q4	MS Office; MS Outlook
255	Q4	MS Word 2016
255	Q4	MS Excel 2016
255	Q4	MS PowerPoint 2016
255	Q4	
255	Q4	Adobe Digitals Edition 4.5
255	Q4	Corel WinDVD Pro 11
255	Q4	Nilex AB
255	Q4	Spotify
255	Q4	
257	Q4	MS Office 365
257	Q4	MS Word 2016
257	Q4	MS Excel 2016
257	Q4	Internet Explorer
257	Q4	Google Chrome
257	Q4	SalesForce
258	Q4	MS Office
259	Q4	Informatica PowerCenter
259	Q4	MS SQL Server
259	Q4	MS Office
263	Q4	ITA Proaktivitet
263	Q4	MS Word 2016
263	Q4	MS Excel 2016
263	Q4	MS Outlook 2016
263	Q4	Yammer
263	Q4	MS Sharepoint
263	Q4	SolarWinds MSP
263	Q4	Google Chrome
264	Q4	MS Office 2016
264	Q4	MS Visio
264	Q4	PUTTY
264	Q4	Google Chrome
264	Q4	Mozilla Firefox
264	Q4	
264	Q4	Remedy
264	Q4	MS Lync
264	Q4	Wireshark
267	Q4	MS Navision
271	Q4	MS Office
271	Q4	Skype for Business
273	Q4	MS Visio
275	Q4	MS Word
275	Q4	MS Excel
275	Q4	E-conomic
275	Q4	NetBank
275	Q4	Dropbox
277	Q4	MS Word
277	Q4	MS Excel
277	Q4	MS Visio
285	Q4	Canva
285	Q4	MS Word
285	Q4	MS Excel
285	Q4	
285	Q4	MS Powerpoint
285	Q4	Elevplan
285	Q4	
286	Q4	
287	Q4	MS Word
287	Q4	Cura
287	Q4	Fælles Sprog III
287	Q4	
287	Q4	
288	Q4	MS Powerpoint
288	Q4	MS Word
288	Q4	MS Excel
288	Q4	MS Sharepoint
288	Q4	
288	Q4	
288	Q4	Skype for Business
301	Q4	MS Office
301	Q4	LabVIEW
301	Q4	
303	Q4	MS Word 2007
303	Q4	MS Excel 2007
303	Q4	Wordpress
305	Q4	
305	Q4	AVID Mediacomposer
305	Q4	Avid iNEWS
308	Q4	MS Office
312	Q4	MS Office 365
312	Q4	csc socialproduktion
312	Q4	openFit
314	Q4	
315	Q4	MS Word
315	Q4	MS Excel
316	Q4	MS Word
316	Q4	
317	Q4	MS Word 2011
317	Q4	
323	Q4	Python
323	Q4	Gridlastic
323	Q4	Fortran 77
323	Q4	Comal
323	Q4	C#
323	Q4	SpiraTest
323	Q4	Rocket
323	Q4	SoapUI
323	Q4	
324	Q4	Advopro
324	Q4	Lotus Notes
324	Q4	MS Word
328	Q4	MS Office
329	Q4	MS Word
329	Q4	Citrix
332	Q4	
332	Q4	
332	Q4	
333	Q4	Epic
333	Q4	Sundhedsplatformen
334	Q4	MS Office 365
334	Q4	MS PowerBI
334	Q4	MS PowerApps
334	Q4	MS OneDrive
334	Q4	MS Sharepoint
334	Q4	Affinity Photo
334	Q4	Affinity Designer
334	Q4	Bracket IO
334	Q4	Wordpress
336	Q4	MS Office
336	Q4	MS Navision
336	Q4	Oracle Database
337	Q4	MS Word 2013: MS Outlook
337	Q4	MS Excel
337	Q4	MS Powerpoint
337	Q4	Safari
337	Q4	Mozilla Firefox
339	Q4	Newscycle
339	Q4	Google Chrome
339	Q4	
339	Q4	MS Word
339	Q4	MS Paint
340	Q4	
342	Q4	
344	Q4	
346	Q4	MS Office
351	Q4	
351	Q4	
351	Q4	Citrix
351	Q4	InfoNet (Innovyze)
351	Q4	
354	Q4	MS Word 2010
354	Q4	ANSYS; Matlab
355	Q4	Google Docs
357	Q4	MS Office 2016
357	Q4	MS Visual Studio 2017
359	Q4	MS Office 2011
359	Q4	
359	Q4	Google Chrome
363	Q4	MS Office
363	Q4	SAP
363	Q4	
363	Q4	Concur
364	Q4	MS Office 365
364	Q4	Mozilla Firefox
364	Q4	Apple Mail
364	Q4	Slack
364	Q4	Visma Løn
364	Q4	Vism.net Expense
366	Q4	KMD OPUS
366	Q4	MS Excel
366	Q4	MS Word
366	Q4	
366	Q4	Acadre
367	Q4	
372	Q4	Propftexx
376	Q4	MS Word
376	Q4	MS Excel
380	Q4	MS Office
381	Q4	MS Word
381	Q4	Adobe Acrobat Reader
381	Q4	MS Excel
381	Q4	MS Powerpoint
381	Q4	Lotus Notes
381	Q4	Google Chrome
382	Q4	Google Chrome
382	Q4	MS Office 2016
382	Q4	GreenScreen
382	Q4	Notepad++
382	Q4	Google Keep
382	Q4	Google Mail
385	Q4	MS Word
385	Q4	
385	Q4	MS Excel 2013
385	Q4	Acadre; SAP MM17
385	Q4	Structura 4.18.0.2 (KMD)
385	Q4	CSC Danmark A/S DPR 4.7.2
385	Q4	
385	Q4	Internet Explorer
385	Q4	Nexus (KMD); Telnet
385	Q4	KMD Doc2mail 3.8.0.10
385	Q4	First Agenda Prepare
388	Q4	
391	Q4	SAP
391	Q4	SAP BEx Analyzer
391	Q4	Harepoint
393	Q4	MS Office
399	Q4	
399	Q4	
408	Q4	MS Office 365
408	Q4	MS Excel
408	Q4	MS Powerpoint
408	Q4	
409	Q4	Google Drive
409	Q4	Google Docs
409	Q4	
409	Q4	Adobe Dreamveawer
409	Q4	Adobe Photoshop
410	Q4	
414	Q4	MS Office
414	Q4	Adobe Acrobat Reader
414	Q4	
419	Q4	MS Navision
423	Q4	MS Word
423	Q4	Google Chrome
423	Q4	
423	Q4	
427	Q4	Apple Notes
427	Q4	MS Word
427	Q4	MS Excel
427	Q4	TN3270 Plus
427	Q4	
433	Q4	MS Word 2016
433	Q4	MS Excel 2016
433	Q4	MS PowerPoint 2016
433	Q4	MS Outlook 2016
433	Q4	Adobe CC
433	Q4	MS Teams
433	Q4	iPaper
433	Q4	
437	Q4	Windows 365
446	Q4	MS Office
446	Q4	Adobe Creative Suite
447	Q4	MS Word
447	Q4	MS Excel
448	Q4	MS Office
448	Q4	MinUddannelse
448	Q4	Clio
448	Q4	https://www.alinea.dk
450	Q4	
450	Q4	MS Excel
450	Q4	MS Word
450	Q4	MS Powerpoint
450	Q4	
450	Q4	IntraNote
450	Q4	Skype for Business
451	Q4	SAP
451	Q4	Captia 4
456	Q4	
465	Q4	
469	Q4	MS Word
469	Q4	MS Excel
469	Q4	MS Powerpoint
469	Q4	
469	Q4	GetOrganized
470	Q4	MS Word
472	Q4	MS Sharepoint
472	Q4	MS Office
472	Q4	
472	Q4	Skype; MS OneDrive
473	Q4	MS Office
473	Q4	Winfinans
475	Q4	
477	Q4	MS Word
477	Q4	MS Excel
477	Q4	MS Powerpoint
477	Q4	Skype
478	Q4	MS Word
479	Q4	MS Excel
479	Q4	MS Word
479	Q4	Google Chrome
479	Q4	Internet Explorer
479	Q4	Lotus Notes
479	Q4	
482	Q4	MS Word
486	Q4	MS Office
488	Q4	MS Office 365
488	Q4	KMD OPUS
489	Q4	
490	Q4	SolidWorks
490	Q4	Radan Vero CAD CAM
490	Q4	Excel-2016
490	Q4	MS Word 2016
490	Q4	MS PowerPoint 2016
490	Q4	MS Outlook 2016
492	Q4	MS Word
492	Q4	https://www.alinea.dk
492	Q4	
492	Q4	
492	Q4	MS Excel
492	Q4	Calculator
492	Q4	MS Powerpoint
492	Q4	MS Publisher
492	Q4	Google Chrome
492	Q4	MS OneDrive
494	Q4	MS Word 2007
495	Q4	
495	Q4	MS Word
495	Q4	MS Excel
495	Q4	Skype
495	Q4	Skype for Business
498	Q4	
498	Q4	MS Word
498	Q4	Sundhedsplatformen
498	Q4	Rover
499	Q4	Dalet
499	Q4	
499	Q4	Google Chrome
499	Q4	Skype for Business
499	Q4	MS Word
499	Q4	MS Excel
509	Q4	MS Excel
509	Q4	MS Office
509	Q4	Autodesk AutoCAD
509	Q4	SAP
509	Q4	
511	Q4	MS Office
511	Q4	
511	Q4	MS PowerBI
513	Q4	MS Word 2016
513	Q4	MS Outlook 2016
513	Q4	Internet Explorer
513	Q4	Google Chrome
513	Q4	
515	Q4	MS Office
517	Q4	MS Office
517	Q4	SDL Trados
517	Q4	Memsource
517	Q4	
518	Q4	Ufattelig mange
519	Q4	
521	Q4	
521	Q4	MS Excel
521	Q4	MS Word
521	Q4	MS Paint
521	Q4	MS Clip
521	Q4	
521	Q4	Skype for Business
521	Q4	MS Dynamics C5
521	Q4	MS Explorer
521	Q4	Google Chrome
521	Q4	Mozilla Firefox
521	Q4	Lloyd's Register Rulefinder
521	Q4	IrfanView
521	Q4	Adobe Acrobat
521	Q4	Autodesk AutoCAD
522	Q4	MS Word; MS Excel
522	Q4	
522	Q4	Skype
522	Q4	MS Powerpoint
523	Q4	MS Office 2010
536	Q4	MS Office 365
536	Q4	SalesForce
537	Q4	MS Dynamics C5
537	Q4	MS Excel
537	Q4	MS Word
537	Q4	
537	Q4	3kontakt
545	Q4	MS Excel
545	Q4	MS Word
545	Q4	MapInfo (Pitney Bowes)
545	Q4	Microstation (v8)
545	Q4	Adobe Acrobat
545	Q4	PDF-XChange Editor
545	Q4	Skype; Lync
545	Q4	Snipping Tool
545	Q4	Internet Explorer
545	Q4	Mozilla Firefox
545	Q4	
554	Q4	MS Office
560	Q4	Advopro
563	Q4	Heracles
563	Q4	MS Excel
563	Q4	MS Word
563	Q4	MS Powerpoint
563	Q4	Atlassian JIRA
567	Q4	
572	Q4	MS Office
577	Q4	
577	Q4	
579	Q4	MS Office
579	Q4	Cisco
579	Q4	Cisco Finesse
579	Q4	
579	Q4	Cherwell IT
579	Q4	
579	Q4	
581	Q4	
582	Q4	MS Navision
582	Q4	
582	Q4	MS Excel
582	Q4	Improve
582	Q4	MS Word
582	Q4	
583	Q4	MS Office
583	Q4	SkoleIntra
583	Q4	https://www.alinea.dk
583	Q4	Kahoot
583	Q4	
586	Q4	MS Word
586	Q4	MS Powerpoint
586	Q4	MS Excel
594	Q4	MS Excel
594	Q4	MS Word
594	Q4	ERP
594	Q4	Tidsregistrering (Workday)
594	Q4	
597	Q4	
600	Q4	MS Word
600	Q4	
600	Q4	MS Excel 2013
600	Q4	MS Access 2013
600	Q4	Adobe InDesign
600	Q4	
607	Q4	
607	Q4	Sensum
609	Q4	
612	Q4	Kongo
612	Q4	MIDT-EPJ
612	Q4	OpenOffice
616	Q4	MS Office
616	Q4	C&B
616	Q4	Jottacloud
616	Q4	
620	Q4	
620	Q4	
622	Q4	MS Excel 2016
622	Q4	
622	Q4	SAP
622	Q4	EMS 4.4
622	Q4	
625	Q4	
627	Q4	Apple Notes
627	Q4	
627	Q4	MS Office
628	Q4	MS Excel
628	Q4	Oracle Database
628	Q4	MS Word
628	Q4	
633	Q4	MS Word 2016
633	Q4	MS Excel 2016
633	Q4	Info Reccon
633	Q4	MS Navision
633	Q4	EG Webtid
634	Q4	MS Office
634	Q4	Alusta
634	Q4	Adobe Creative Suite
634	Q4	DiverOffice
644	Q4	MS Word
644	Q4	MS Excel
644	Q4	MS Powerpoint
644	Q4	ekspandit
644	Q4	MS Navision
644	Q4	
644	Q4	
645	Q4	MS Navision
645	Q4	MS Excel
645	Q4	MS Visual Studio
645	Q4	MS SQL Server
645	Q4	MS Office
645	Q4	Slack
648	Q4	Apple Mail
648	Q4	
648	Q4	MS Office
650	Q4	
651	Q4	
653	Q4	SAS
653	Q4	MS Visual Studio 2015
653	Q4	MS Excel 2016
653	Q4	
657	Q4	
659	Q4	MS Excel
661	Q4	MS Word
662	Q4	
662	Q4	COSMIC
662	Q4	Bookplan
662	Q4	Cetrea
662	Q4	
662	Q4	MS Word
662	Q4	MS Excel
662	Q4	
666	Q4	MS Office
666	Q4	MS Excel
666	Q4	Internet Explorer
666	Q4	MS Edge
666	Q4	
666	Q4	MS Powerpoint
666	Q4	Adobe Photoshop
666	Q4	Adobe Acrobat Reader
666	Q4	3CXphone for windows
666	Q4	ScanJour
666	Q4	KMD
666	Q4	LibreOffice
666	Q4	
669	Q4	
669	Q4	MS OneNote
669	Q4	MS Word
669	Q4	MS Excel
669	Q4	
676	Q4	AutoDesk Revit
676	Q4	Autodesk AutoCAD
676	Q4	MS Word
676	Q4	MS Excel
676	Q4	
676	Q4	Adobe Acrobat
676	Q4	Internet Explorer
676	Q4	Autopilot
676	Q4	Acubiz
682	Q4	MS Office
683	Q4	Uniconta
683	Q4	MS Office
683	Q4	MS SQL Server
683	Q4	MS Visual Studio
683	Q4	Danløn
690	Q4	MS Outlook 2016
690	Q4	Adobe Acrobat X Pro
690	Q4	Adobe Acrobat Reader
690	Q4	MS Word 2016
690	Q4	Internet Explorer
690	Q4	GetOrganized
690	Q4	EazyProject
690	Q4	Webkort (Silkeborg Kommune)
690	Q4	BBR.dk
690	Q4	Tinglysning.dk
690	Q4	Skype
690	Q4	Competella
690	Q4	Plandata.dk
690	Q4	Silkeborg Data
694	Q4	MS Office 365
696	Q4	
699	Q4	MS Excel 2016
699	Q4	MS Project 2016
699	Q4	MS Word 2016
699	Q4	MS Outlook 2016
699	Q4	MS Access 2016
703	Q4	MS Excel
709	Q4	
709	Q4	ENDOBASE NEXT (Olympus)
709	Q4	MS Word
714	Q4	Cameleon
714	Q4	OpenOffice
718	Q4	MS Word
720	Q4	Cura
720	Q4	MS Word
732	Q4	MS Excel 2014
732	Q4	MS Word 2011
732	Q4	IDA-2016
732	Q4	MS Navision
732	Q4	MS Outlook 2016
732	Q4	Adobe Flash
736	Q4	
738	Q4	
738	Q4	MS Word
738	Q4	MS Excel
738	Q4	MS Powerpoint
739	Q4	MS Word
739	Q4	Oracle Database
739	Q4	
739	Q4	
739	Q4	Minitab
739	Q4	MS Office
742	Q4	
744	Q4	MS Office
745	Q4	
747	Q4	Uddata+
749	Q4	MS Dynamics NAV
749	Q4	MS Visual Studio
749	Q4	MS Visual Studio
749	Q4	MS Office
749	Q4	TeamViewer
749	Q4	Statical Prism (Stati-Cal)
750	Q4	BOSaNOVA AS400 Emulator
750	Q4	MS pakken - excel mv.
761	Q4	MS Word 2011
762	Q4	MS Word
762	Q4	MS Excel
762	Q4	
762	Q4	Matlab
762	Q4	MathCad
762	Q4	GeoStudio GeoSuite
762	Q4	Autodesk AutoCAD
762	Q4	Bentley Novapoint
763	Q4	MS Word
763	Q4	clio.online
763	Q4	Intra
768	Q4	MS Word
768	Q4	MS Excel; MS Access
768	Q4	MS Powerpoint; ESDH journaliseringssystem
780	Q4	
781	Q4	
783	Q4	
783	Q4	
787	Q4	Schilling
787	Q4	
787	Q4	MS Planner
787	Q4	MS Excel
787	Q4	MS Word
790	Q4	
790	Q4	Layby (Layaway)
790	Q4	LABKA
790	Q4	Sundhedsportalen
790	Q4	NC3000 software program
790	Q4	MS Office
795	Q4	ASP.net
795	Q4	BOSaNOVA AS400 Emulator
795	Q4	MS Word
795	Q4	MS Excel
795	Q4	
795	Q4	Apple Notes
795	Q4	
796	Q4	MS Word 2016
796	Q4	MS Excel 2016
796	Q4	MS Access 2016
796	Q4	MS PowerPoint 2016
796	Q4	MS Project 2013
796	Q4	MS Dynamics NAV
796	Q4	MS Dynamics NAV
796	Q4	Adobe InDesign
796	Q4	Paintshop Pro 10
796	Q4	Adobe Acrobat X Pro
803	Q4	MS Word
803	Q4	Sundhedsplatformen
803	Q4	FMK online
804	Q4	
806	Q4	
813	Q4	MS Office 365
813	Q4	chemsketch
813	Q4	Screencastomatic
813	Q4	PASCO
813	Q4	vanier log&pro
813	Q4	Kahoot
813	Q4	Uddata+
813	Q4	
815	Q4	MS Word
816	Q4	
816	Q4	
816	Q4	MS Word
816	Q4	Google Chrome
816	Q4	MS Excel
816	Q4	MS Powerpoint
816	Q4	Skype for Business
816	Q4	MS OneNote
816	Q4	Flexikon
816	Q4	GECKO Booking
816	Q4	Gecko Event
816	Q4	Microsoft Dynamics 365 CRM
816	Q4	Prezi
817	Q4	Teleopti
817	Q4	MS Excel
817	Q4	MS PowerBI
817	Q4	SAP
817	Q4	SAP
817	Q4	MS Powerpoint
817	Q4	MS Sharepoint
828	Q4	MS Word
828	Q4	MS Excel
828	Q4	Graphpad Prism
828	Q4	MS Powerpoint
830	Q4	MS Office 365
832	Q4	Sonatype Nexus
836	Q4	SAP
836	Q4	MS Word
836	Q4	MS Excel
836	Q4	MS Access
836	Q4	ISIS Papyrus
836	Q4	MS Sharepoint
838	Q4	EDB-Brugsen
838	Q4	Tabulex
838	Q4	MS Excel 2016
838	Q4	MS Outlook 2017
838	Q4	MS Word 2016
839	Q4	
841	Q4	MS Word 2013
841	Q4	MS Edge
843	Q4	
843	Q4	MS Outlook 2016
843	Q4	MS Word 2016
843	Q4	Internet Explorer
851	Q4	MS Excel
851	Q4	MS Word
851	Q4	Internet Explorer
851	Q4	Google Chrome
858	Q4	MS Outlook 2016
858	Q4	MS Word 2016
858	Q4	Google Chrome
858	Q4	MS Excel
858	Q4	MS Paint
861	Q4	MS Office 365
863	Q4	MS Word 2016
863	Q4	MS Excel
863	Q4	MS Powerpoint
863	Q4	Safari
863	Q4	
864	Q4	MS Word
864	Q4	MS Excel
864	Q4	MS Powerpoint
864	Q4	MS OneNote
864	Q4	
864	Q4	Adobe Photoshop
864	Q4	Adobe InDesign
864	Q4	Adobe Illustrator
864	Q4	Adobe Dreamveawer
865	Q4	MS Excel 2013
865	Q4	MS Word 2013
865	Q4	MS PowerPoint 2013
865	Q4	MS OneNote 2013
865	Q4	Internet Explorer
865	Q4	HP Quality Center ALM 12.01
865	Q4	MS Outlook 2013
865	Q4	Adobe Acrobat Reader
865	Q4	Citrix Reciever
867	Q4	
868	Q4	MS Office
868	Q4	ERP
868	Q4	
869	Q4	
869	Q4	
870	Q4	MS Word
870	Q4	MS Excel
870	Q4	MS Powerpoint
870	Q4	
870	Q4	MS Explorer
870	Q4	Google Chrome
870	Q4	Schilling
870	Q4	Adobe Acrobat
870	Q4	Liferay
870	Q4	MS Sharepoint
873	Q4	MS Word
873	Q4	MS Excel
873	Q4	MS Powerpoint
873	Q4	
873	Q4	
875	Q4	MS Word; MS Outlook
876	Q4	MS Word
876	Q4	MS Excel
876	Q4	GeoGebra
876	Q4	
877	Q4	SAP
877	Q4	
877	Q4	MS Excel
877	Q4	MS Word
879	Q4	
879	Q4	Apple Notes
879	Q4	DoCAS kursus administration
879	Q4	Google Chrome
879	Q4	MS Word
879	Q4	MS Excel
879	Q4	MS Powerpoint
879	Q4	
880	Q4	MS Word 2016
880	Q4	MS Excel 2016
880	Q4	Bosted
880	Q4	MS Outlook 2016
880	Q4	TrueTrade
880	Q4	KMD OPUS
880	Q4	Google Chrome
881	Q4	Forefront
881	Q4	FDAV
881	Q4	MS Active Directory
881	Q4	Remedy
881	Q4	
881	Q4	Cisco CTI.
883	Q4	
883	Q4	KMD OPUS
883	Q4	Sonatype Nexus
883	Q4	KMD OPUS
883	Q4	NemØkono-mi
884	Q4	MS Excel 2013
884	Q4	MS Word 2013
884	Q4	CaseWare
886	Q4	MS Word
886	Q4	MS Powerpoint
886	Q4	
886	Q4	Skype for Business
886	Q4	MS Excel
887	Q4	
888	Q4	MS Office
894	Q4	MS Word
894	Q4	MS Excel
894	Q4	MS OneNote
894	Q4	Apple Keynote
894	Q4	GeoGebra
894	Q4	
894	Q4	Safari
899	Q4	A-data
899	Q4	WebReq
899	Q4	MS Word
902	Q4	
902	Q4	Fasit
902	Q4	KMD
902	Q4	MS Word
902	Q4	MS Excel
904	Q4	MS Office
904	Q4	SAP
904	Q4	Kronos
904	Q4	Internet Explorer
904	Q4	Google Chrome
913	Q4	MS Excel
915	Q4	
927	Q4	
931	Q4	Sundhedsplatformen
931	Q4	KMD OPUS
931	Q4	
932	Q4	MS Office 2016
932	Q4	Workzone
933	Q4	MS Word
933	Q4	MS Excel; MS Powerpoint
935	Q4	MS Word
935	Q4	MS Excel
937	Q4	
938	Q4	MS Excel
938	Q4	MS Word
938	Q4	SAP
938	Q4	
939	Q4	
939	Q4	MS Word
939	Q4	
939	Q4	MS Access
943	Q4	Numbers; Pages
944	Q4	MS Word
944	Q4	MS Excel
944	Q4	SPSS
947	Q4	MS Word 2013
947	Q4	MS Excel 2013
947	Q4	Skype for Business
947	Q4	
953	Q4	Basware Alusta
953	Q4	MS Office 365
953	Q4	MS Excel
953	Q4	MS Navision
953	Q4	Lexmark ReadSoft Invoices
953	Q4	Basware Travel & Expense Management
953	Q4	MS OneNote
